State,Men,Women
AL,0.35,0.39
AK,0.386666667,0.473333333
AZ,0.48,0.51
AR,0.306666667,0.393333333
CA,0.63,0.63
CO,0.49,0.61
CT,0.546666667,0.633333333
DE,0.546666667,0.633333333
FL,0.45,0.51
GA,0.43,0.54
HI,0.596666667,0.683333333
ID,0.286666667,0.373333333
IL,0.536666667,0.623333333
IN,0.366666667,0.453333333
IA,0.39,0.51
KS,0.376666667,0.463333333
KY,0.36,0.36
LA,0.356666667,0.443333333
ME,0.42,0.61
MD,0.606666667,0.693333333
MA,0.616666667,0.703333333
MI,0.44,0.57
MN,0.47,0.58
MS,0.366666667,0.453333333
MO,0.366666667,0.453333333
MT,0.33,0.47
NE,0.366666667,0.453333333
NV,0.46,0.54
NH,0.47,0.58
NJ,0.526666667,0.613333333
NM,0.496666667,0.583333333
NY,0.6,0.62
NC,0.45,0.53
ND,0.276666667,0.363333333
OH,0.39,0.51
OK,0.276666667,0.363333333
OR,0.51,0.63
PA,0.44,0.55
RI,0.546666667,0.633333333
SC,0.41,0.45
SD,0.316666667,0.403333333
TN,0.326666667,0.413333333
TX,0.4,0.51
UT,0.336666667,0.423333333
VT,0.616666667,0.703333333
VA,0.49,0.61
WA,0.48,0.67
WV,0.256666667,0.343333333
WI,0.44,0.56
WY,0.226666667,0.313333333
