State,Men,Women
AL,0.63,0.61
AK,0.573333333,0.486666667
AZ,0.5,0.48
AR,0.663333333,0.576666667
CA,0.34,0.35
CO,0.47,0.37
CT,0.433333333,0.346666667
DE,0.443333333,0.356666667
FL,0.54,0.48
GA,0.54,0.43
HI,0.383333333,0.296666667
ID,0.683333333,0.596666667
IL,0.453333333,0.366666667
IN,0.613333333,0.526666667
IA,0.58,0.48
KS,0.603333333,0.516666667
KY,0.6,0.63
LA,0.623333333,0.536666667
ME,0.52,0.38
MD,0.363333333,0.276666667
MA,0.363333333,0.276666667
MI,0.54,0.43
MN,0.5,0.41
MS,0.623333333,0.536666667
MO,0.613333333,0.526666667
MT,0.63,0.52
NE,0.603333333,0.516666667
NV,0.51,0.44
NH,0.52,0.4
NJ,0.453333333,0.366666667
NM,0.483333333,0.396666667
NY,0.39,0.37
NC,0.54,0.46
ND,0.693333333,0.606666667
OH,0.59,0.48
OK,0.693333333,0.606666667
OR,0.45,0.35
PA,0.55,0.44
RI,0.433333333,0.346666667
SC,0.57,0.53
SD,0.663333333,0.576666667
TN,0.653333333,0.566666667
TX,0.57,0.48
UT,0.623333333,0.536666667
VT,0.353333333,0.266666667
VA,0.48,0.38
WA,0.46,0.33
WV,0.733333333,0.646666667
WI,0.54,0.43
WY,0.743333333,0.656666667
